Quad-ridged horn antenna locations,,,,,,,,,
An,  X (in)  ,  Y (in)  ,  Z (in)  ,Horiz dist (in),Az Center (deg),Aper Az (deg),Aper Elev (deg),Ant size (in),description
73,0,-36.6024,-76.5,36.6024,-90,-90,-10,37.277,topBottom
74,0.0433,-88.0788,-196.0001,88.0788,-89.9718331,-89.9718331,-10,37.277,second
75,0.0433,-88.0788,-224.7482,88.0788,-89.9718331,-89.9718331,-10,37.277,third
76,0.0433,-88.0788,-253.5001,88.0788,-89.9718331,-89.9718331,-10,37.277,fourth
77,10.5354,-39.6457,-51.5985,41.0217,-75.11822864,-75.11822864,-10,37.277,topTop
78,22.5827,-85.1103,-196.0001,88.0553,-75.13986587,-75.13986587,-10,37.277,second
79,22.5827,-85.1103,-224.7482,88.0553,-75.13986587,-75.13986587,-10,37.277,third
80,22.5827,-85.1103,-253.5001,88.0553,-75.13986587,-75.13986587,-10,37.277,fourth
81,19.126,-33.126,-76.5,38.251,-59.99909846,-59.99909846,-10,37.277,topBottom
82,44,-76.2087,-196.0001,87.9987,-59.99950011,-59.99950011,-10,37.277,second
83,44,-76.2087,-224.7482,87.9987,-59.99950011,-59.99950011,-10,37.277,third
84,44,-76.2087,-253.5001,87.9987,-59.99950011,-59.99950011,-10,37.277,fourth
85,29.0669,-28.9449,-51.5985,41.0207,-44.87950598,-44.87950598,-10,37.277,topTop
86,62.4174,-62.1103,-196.0001,88.0546,-44.85870213,-44.85870213,-10,37.277,second
87,62.4174,-62.1103,-224.7482,88.0546,-44.85870213,-44.85870213,-10,37.277,third
88,62.4174,-62.1103,-253.5001,88.0546,-44.85870213,-44.85870213,-10,37.277,fourth
89,31.7008,-18.2992,-76.5,36.6033,-29.99557339,-29.99557339,-10,37.277,topBottom
90,76.2993,-44,-196.0001,88.0771,-29.97103097,-29.97103097,-10,37.277,second
91,76.2993,-44,-224.7482,88.0771,-29.97103097,-29.97103097,-10,37.277,third
92,76.2993,-44,-253.5001,88.0771,-29.97103097,-29.97103097,-10,37.277,fourth
93,39.5984,-10.7008,-51.5985,41.0188,-15.12202474,-15.12202474,-10,37.277,topTop
94,85,-23,-196.0001,88.0568,-15.14098384,-15.14098384,-10,37.277,second
95,85,-23,-224.7482,88.0568,-15.14098384,-15.14098384,-10,37.277,third
96,85,-23,-253.5001,88.0568,-15.14098384,-15.14098384,-10,37.277,fourth
97,62,0,-345.0002,62,0,0,-30,37.277,notPrimary
98,54.063,31.1417,-345.0002,62.3909,29.94306615,29.94306615,-30,37.277,notPrimary
99,31,53.6929,-345.0002,61.9995,59.99968809,59.99968809,-30,37.277,notPrimary
100,0.063,62.3898,-345.0002,62.3898,89.94214386,89.94214386,-30,37.277,notPrimary
101,-31,53.6929,-345.0002,61.9995,120.0003119,120.0003119,-30,37.277,notPrimary
102,-54,31.252,-345.0002,62.3914,149.9402849,149.9402849,-30,37.277,notPrimary
103,-62,0,-345.0002,62,180,180,-30,37.277,notPrimary
104,-54.063,-31.1417,-345.0002,62.3909,-150.0569338,-150.0569338,-30,37.277,notPrimary
105,-31,-53.6929,-345.0002,61.9995,-120.0003119,-120.0003119,-30,37.277,notPrimary
106,-0.063,-62.3898,-345.0002,62.3898,-90.05785614,-90.05785614,-30,37.277,notPrimary
107,31,-53.6929,-345.0002,61.9995,-59.99968809,-59.99968809,-30,37.277,notPrimary
108,54,-31.248,-345.0002,62.3895,-30.05653577,-30.05653577,-30,37.277,notPrimary
